tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
NMS Tier 1|A|Agilent Technologies Inc.|BIDS BIDS ATS|BIDS|84422|125|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|BLKX INSTINET BLOCKCROSS|BLKX|6300|1|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|CODA CODA|CODA|25568|157|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|CROS CROSSFINDER|CROS|88745|820|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|DBAX SUPERX ATS|DBAX|52500|393|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|EBXL LEVEL ATS|EBXL|70200|543|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|IATS IBKR ATS|IATS|13730|82|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|ICBX CBX|ICBX|12145|116|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|INCR INTELLIGENT CROSS LLC|INCR|1202|12|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|ITGP POSIT|ITGP|29700|118|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|JPBX JPB-X|JPBX|46286|501|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|JPMX JPM-X|JPMX|112546|785|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|KCGM VIRTU MATCHIT ATS|KCGM|21154|219|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|LATS THE BARCLAYS ATS|LATS|28100|246|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|LQNA LIQUIDNET H2O ATS|LQNA|61400|6|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|LQNT LIQUIDNET NEGOTIATION ATS|LQNT|35000|3|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|MLIX INSTINCT X|MLIX|16071|84|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|MSPL MS POOL (ATS-4)|MSPL|49500|382|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|MSRP MS RPOOL (ATS-6)|MSRP|30100|247|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|MSTX MS TRAJECTORY CROSS (ATS-1)|MSTX|94200|497|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|SGMT SIGMA X2|SGMT|64905|607|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|UBSA UBS ATS|UBSA|269658|2889|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|XIST INSTINET CROSSING|XIST|2100|2|2019-06-24
NMS Tier 1|A|Agilent Technologies Inc.|XSTM CROSSSTREAM|XSTM|9540|43|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|BIDS BIDS ATS|BIDS|160900|131|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|BLKX INSTINET BLOCKCROSS|BLKX|328008|36|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|CBLC CITIBLOC|CBLC|5123|1|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|CODA CODA|CODA|38632|174|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|CROS CROSSFINDER|CROS|286563|1662|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|DBAX SUPERX ATS|DBAX|146600|540|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|EBXL LEVEL ATS|EBXL|272182|1047|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|IATS IBKR ATS|IATS|31112|133|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|ICBX CBX|ICBX|18018|135|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|INCR INTELLIGENT CROSS LLC|INCR|15039|111|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|ITGP POSIT|ITGP|73600|117|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|JPBX JPB-X|JPBX|22317|206|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|JPMX JPM-X|JPMX|328088|1584|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|KCGM VIRTU MATCHIT ATS|KCGM|80694|353|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|LATS THE BARCLAYS ATS|LATS|99100|634|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|LQNA LIQUIDNET H2O ATS|LQNA|11500|1|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|MLIX INSTINCT X|MLIX|57857|341|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|MSPL MS POOL (ATS-4)|MSPL|291200|1172|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|MSRP MS RPOOL (ATS-6)|MSRP|57200|439|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|MSTX MS TRAJECTORY CROSS (ATS-1)|MSTX|173300|738|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|SGMT SIGMA X2|SGMT|154537|1053|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|UBSA UBS ATS|UBSA|721540|5361|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|XIST INSTINET CROSSING|XIST|1400|2|2019-06-24
NMS Tier 1|AA|Alcoa Corporation|XSTM CROSSSTREAM|XSTM|62594|86|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|BIDS BIDS ATS|BIDS|80300|117|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|BLKX INSTINET BLOCKCROSS|BLKX|45900|8|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|CODA CODA|CODA|15406|74|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|CROS CROSSFINDER|CROS|365236|2822|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|DBAX SUPERX ATS|DBAX|172400|955|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|EBXL LEVEL ATS|EBXL|326889|1710|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|IATS IBKR ATS|IATS|100781|550|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|ICBX CBX|ICBX|65027|451|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|INCR INTELLIGENT CROSS LLC|INCR|46291|347|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|ITGP POSIT|ITGP|60600|309|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|JPBX JPB-X|JPBX|137474|1840|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|JPMX JPM-X|JPMX|473058|2096|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|KCGM VIRTU MATCHIT ATS|KCGM|106793|861|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|LATS THE BARCLAYS ATS|LATS|148200|1162|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MLIX INSTINCT X|MLIX|73555|424|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MSPL MS POOL (ATS-4)|MSPL|234700|1266|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MSRP MS RPOOL (ATS-6)|MSRP|87400|658|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|MSTX MS TRAJECTORY CROSS (ATS-1)|MSTX|304000|1099|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|SGMT SIGMA X2|SGMT|243010|2102|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|UBSA UBS ATS|UBSA|745011|6442|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|USTK USTOCKTRADE SECURITIES, INC.|USTK|2|2|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|WDNX XE|WDNX|202|1|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|XIST INSTINET CROSSING|XIST|18446|5|2019-06-24
NMS Tier 1|AAL|American Airlines Group Inc. Common Stock|XSTM CROSSSTREAM|XSTM|123517|334|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|BIDS BIDS ATS|BIDS|73000|72|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|CODA CODA|CODA|222|3|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|CROS CROSSFINDER|CROS|97115|1034|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|DBAX SUPERX ATS|DBAX|62800|539|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|EBXL LEVEL ATS|EBXL|39659|229|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|IATS IBKR ATS|IATS|4809|53|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|ICBX CBX|ICBX|3000|30|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|INCR INTELLIGENT CROSS LLC|INCR|1952|20|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|ITGP POSIT|ITGP|19800|70|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|JPBX JPB-X|JPBX|19121|354|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|JPMX JPM-X|JPMX|103447|1035|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|KCGM VIRTU MATCHIT ATS|KCGM|2281|54|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|LATS THE BARCLAYS ATS|LATS|28700|260|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|LQNA LIQUIDNET H2O ATS|LQNA|49500|5|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|MLIX INSTINCT X|MLIX|14852|92|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|MSPL MS POOL (ATS-4)|MSPL|58900|509|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|MSRP MS RPOOL (ATS-6)|MSRP|27100|247|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|MSTX MS TRAJECTORY CROSS (ATS-1)|MSTX|96500|627|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|SGMT SIGMA X2|SGMT|44625|501|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|UBSA UBS ATS|UBSA|150097|2030|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|XIST INSTINET CROSSING|XIST|6700|1|2019-06-24
NMS Tier 1|AAP|ADVANCE AUTO PARTS INC|XSTM CROSSSTREAM|XSTM|3123|22|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|BIDS BIDS ATS|BIDS|380400|575|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|BLKX INSTINET BLOCKCROSS|BLKX|34000|6|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|CODA CODA|CODA|166259|885|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|CROS CROSSFINDER|CROS|1547259|13216|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|DBAX SUPERX ATS|DBAX|483200|3837|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|EBXL LEVEL ATS|EBXL|725940|5332|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|IATS IBKR ATS|IATS|1328256|10226|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|ICBX CBX|ICBX|172896|932|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|INCR INTELLIGENT CROSS LLC|INCR|48445|461|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|ITGP POSIT|ITGP|218600|1331|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|JPBX JPB-X|JPBX|347132|4721|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|JPMX JPM-X|JPMX|946332|6231|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|KCGM VIRTU MATCHIT ATS|KCGM|341295|2961|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|LATS THE BARCLAYS ATS|LATS|590200|4346|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|LMNX LUMINEX ATS|LMNX|14700|1|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|LQNA LIQUIDNET H2O ATS|LQNA|33200|5|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|MLIX INSTINCT X|MLIX|664419|2329|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|MSPL MS POOL (ATS-4)|MSPL|477000|2893|2019-06-24
NMS Tier 1|AAPL|Apple Inc. Common Stock|MSRP MS RPOOL (ATS-6)|MSRP|240800|1523|2019-06-24
