tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AABB|Asia Broadband Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|24918|3|2019-06-17
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|ARCA GLOBAL OTC|ARCA|34014|91|2019-06-17
OTC|AACS|American Commerce Solutions, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|253002|16|2019-06-17
OTC|AAGH|America Great Health Common Stock|OTCX OTC LINK ECN ATS|OTCX|18350|5|2019-06-17
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|ARCA GLOBAL OTC|ARCA|81499|373|2019-06-17
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|DBOX DBOT ATS, LLC|DBOX|100|1|2019-06-17
OTC|AAPT|All American Pet Company, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|500000|16|2019-06-17
OTC|AASP|All-American SportPark, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|1783|1|2019-06-17
OTC|AAVVF|Advantage Oil & Gas Ltd Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|8|1|2019-06-17
OTC|AAWC|Alexandria Advantage Warranty Company Common Stock|ARCA GLOBAL OTC|ARCA|14312|7|2019-06-17
OTC|ABCFF|Abacus Mining & Exploration Corporation Common Shares|OTCX OTC LINK ECN ATS|OTCX|2500|1|2019-06-17
OTC|ABCP|AmBase Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|100|1|2019-06-17
OTC|ABMC|American Bio Medica Corp. Common Stock|ARCA GLOBAL OTC|ARCA|15560|3|2019-06-17
OTC|ABNAF|Aben Resources, Ltd. Ordinary Shares|ARCA GLOBAL OTC|ARCA|19000|1|2019-06-17
OTC|ABNRY|Abn Amro Group NV American Depositary Shares - Unsponsored (Netherlands)|ARCA GLOBAL OTC|ARCA|17186|22|2019-06-17
OTC|ABNRY|Abn Amro Group NV American Depositary Shares - Unsponsored (Netherlands)|OTCX OTC LINK ECN ATS|OTCX|4800|4|2019-06-17
OTC|ACAN|Americann, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|15815|19|2019-06-17
OTC|ACAN|Americann, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|1000|1|2019-06-17
OTC|ACBCQ|Albina Community Bancorp (OR) Common Stock|ARCA GLOBAL OTC|ARCA|7670|2|2019-06-17
OTC|ACCA|Acacia Diversified Holdings, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|32183|5|2019-06-17
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|ARCA GLOBAL OTC|ARCA|1410|7|2019-06-17
OTC|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|1700|11|2019-06-17
OTC|ACETQ|Aceto Corporation Common Stock|ARCA GLOBAL OTC|ARCA|154973|23|2019-06-17
OTC|ACEZ|Ariel Clean Energy, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|25000|3|2019-06-17
OTC|ACFN|Acorn Energy, Inc.|ARCA GLOBAL OTC|ARCA|4334|1|2019-06-17
OTC|ACFN|Acorn Energy, Inc.|OTCX OTC LINK ECN ATS|OTCX|222347|7|2019-06-17
OTC|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|ARCA GLOBAL OTC|ARCA|6564|27|2019-06-17
OTC|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|OTCX OTC LINK ECN ATS|OTCX|100|1|2019-06-17
OTC|ACLZ|Accelerize Inc.  Common Stock|ARCA GLOBAL OTC|ARCA|10100|3|2019-06-17
OTC|ACLZ|Accelerize Inc.  Common Stock|OTCX OTC LINK ECN ATS|OTCX|12000|2|2019-06-17
OTC|ACMTA|ACMAT Corporation Class A Common Stock|ARCA GLOBAL OTC|ARCA|100|1|2019-06-17
OTC|ACMTA|ACMAT Corporation Class A Common Stock|OTCX OTC LINK ECN ATS|OTCX|7200|29|2019-06-17
OTC|ACRGF|Acreage Holdings Inc Common Shares (Canada)|ARCA GLOBAL OTC|ARCA|1077|9|2019-06-17
OTC|ACRGF|Acreage Holdings Inc Common Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|5939|46|2019-06-17
OTC|ACRL|Atacama Resources International, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|50000|1|2019-06-17
OTC|ACRT|Advanced Credit Technologies Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|1100|1|2019-06-17
OTC|ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|ARCA GLOBAL OTC|ARCA|12142|42|2019-06-17
OTC|ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|OTCX OTC LINK ECN ATS|OTCX|298|3|2019-06-17
OTC|ACUR|ACURA PHARMACEUTICALS INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|6200|2|2019-06-17
OTC|ADDYY|adidas AG Sponsored ADR (Germany)|ARCA GLOBAL OTC|ARCA|25180|168|2019-06-17
OTC|ADFS|American Defense Systems, Inc Common Stock|ARCA GLOBAL OTC|ARCA|250|1|2019-06-17
OTC|ADFS|American Defense Systems, Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|28084|3|2019-06-17
OTC|ADHC|American Diversified Holdings Corporation Common Stock|ARCA GLOBAL OTC|ARCA|150000|4|2019-06-17
OTC|ADIA|Adia Nutrition, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|34300|1|2019-06-17
OTC|ADIA|Adia Nutrition, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|46600|1|2019-06-17
OTC|ADMT|ADM Tronics Unlimited, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|24000|4|2019-06-17
OTC|ADMT|ADM Tronics Unlimited, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|3500|7|2019-06-17
OTC|ADNY|Adino Energy Corporation Common Stock|ARCA GLOBAL OTC|ARCA|124582|6|2019-06-17
OTC|ADNY|Adino Energy Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|40650|1|2019-06-17
