tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|AABB|Asia Broadband Inc Common Stock|ARCA GLOBAL OTC|ARCA|30000|1|2019-06-03
OTC|AABB|Asia Broadband Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|42100|5|2019-06-03
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|ARCA GLOBAL OTC|ARCA|9240|28|2019-06-03
OTC|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|OTCX OTC LINK ECN ATS|OTCX|6511|6|2019-06-03
OTC|AAGH|America Great Health Common Stock|OTCX OTC LINK ECN ATS|OTCX|15200|3|2019-06-03
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|ARCA GLOBAL OTC|ARCA|127456|383|2019-06-03
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|DBOX DBOT ATS, LLC|DBOX|323|3|2019-06-03
OTC|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|OTCX OTC LINK ECN ATS|OTCX|2206|13|2019-06-03
OTC|AAPT|All American Pet Company, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|999999|2|2019-06-03
OTC|AASP|All-American SportPark, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|1863|1|2019-06-03
OTC|AAVVF|Advantage Oil & Gas Ltd Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|120|2|2019-06-03
OTC|AAWC|Alexandria Advantage Warranty Company Common Stock|ARCA GLOBAL OTC|ARCA|139066|3|2019-06-03
OTC|ABCE|ABCO Energy, Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|225008|8|2019-06-03
OTC|ABCFF|Abacus Mining & Exploration Corporation Common Shares|OTCX OTC LINK ECN ATS|OTCX|12030|3|2019-06-03
OTC|ABCZY|Abcam PLC Unsponsored ADR (United Kingdom)|ARCA GLOBAL OTC|ARCA|49|1|2019-06-03
OTC|ABMC|American Bio Medica Corp. Common Stock|ARCA GLOBAL OTC|ARCA|1000|1|2019-06-03
OTC|ABNRY|Abn Amro Group NV American Depositary Shares - Unsponsored (Netherlands)|ARCA GLOBAL OTC|ARCA|10916|30|2019-06-03
OTC|ABNRY|Abn Amro Group NV American Depositary Shares - Unsponsored (Netherlands)|OTCX OTC LINK ECN ATS|OTCX|4023|4|2019-06-03
OTC|ABVN|ABV CONSULTING INC Common Stock|ARCA GLOBAL OTC|ARCA|93|1|2019-06-03
OTC|ACAN|Americann, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|12568|43|2019-06-03
OTC|ACAN|Americann, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|3926|10|2019-06-03
OTC|ACBD|Annabidiol Corp. Common Stock|OTCX OTC LINK ECN ATS|OTCX|90|1|2019-06-03
OTC|ACBM|Acro Biomedical Co., Ltd. Common Stock|OTCX OTC LINK ECN ATS|OTCX|6759|25|2019-06-03
OTC|ACCA|Acacia Diversified Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|10000|1|2019-06-03
OTC|ACCA|Acacia Diversified Holdings, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|30835|4|2019-06-03
OTC|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|ARCA GLOBAL OTC|ARCA|4365|10|2019-06-03
OTC|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|DBOX DBOT ATS, LLC|DBOX|300|3|2019-06-03
OTC|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|1400|8|2019-06-03
OTC|ACETQ|Aceto Corporation Common Stock|ARCA GLOBAL OTC|ARCA|200999|32|2019-06-03
OTC|ACETQ|Aceto Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|111139|10|2019-06-03
OTC|ACFN|Acorn Energy, Inc.|ARCA GLOBAL OTC|ARCA|3000|4|2019-06-03
OTC|ACFN|Acorn Energy, Inc.|OTCX OTC LINK ECN ATS|OTCX|19|1|2019-06-03
OTC|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|ARCA GLOBAL OTC|ARCA|288|4|2019-06-03
OTC|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|OTCX OTC LINK ECN ATS|OTCX|100|1|2019-06-03
OTC|ACGX|Alliance Creative Group, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|38500|1|2019-06-03
OTC|ACGX|Alliance Creative Group, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|500000|1|2019-06-03
OTC|ACLZ|Accelerize Inc.  Common Stock|ARCA GLOBAL OTC|ARCA|12500|2|2019-06-03
OTC|ACLZ|Accelerize Inc.  Common Stock|OTCX OTC LINK ECN ATS|OTCX|12960|2|2019-06-03
OTC|ACMTA|ACMAT Corporation Class A Common Stock|ARCA GLOBAL OTC|ARCA|500|1|2019-06-03
OTC|ACMTA|ACMAT Corporation Class A Common Stock|OTCX OTC LINK ECN ATS|OTCX|2000|5|2019-06-03
OTC|ACNV|Accelera Innovations, Inc Common Stock|ARCA GLOBAL OTC|ARCA|10000|1|2019-06-03
OTC|ACRGF|Acreage Holdings Inc Common Shares (Canada)|ARCA GLOBAL OTC|ARCA|1504|7|2019-06-03
OTC|ACRGF|Acreage Holdings Inc Common Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|18226|104|2019-06-03
OTC|ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|ARCA GLOBAL OTC|ARCA|20127|51|2019-06-03
