tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|THST|Truett-Hurst, Inc. Class A Common Stock|OTCX OTC LINK ECN ATS|OTCX|1752|8|2019-06-24
OTC|TIGCF|Triumph Gold Corp Ordinary Shares|ARCA GLOBAL OTC|ARCA|1801|1|2019-06-24
OTC|TIKK|Tel-Instrument Electronics Corp. Common Stock|ARCA GLOBAL OTC|ARCA|4236|6|2019-06-24
OTC|TIXC|Tix Corporation Common Stock|ARCA GLOBAL OTC|ARCA|13625|7|2019-06-24
OTC|TKAMY|Thyssenkrupp AG American Depositary Receipts - Sponsored|ARCA GLOBAL OTC|ARCA|4923|9|2019-06-24
OTC|TKAMY|Thyssenkrupp AG American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|400|4|2019-06-24
OTC|TKCI|Turnkey Capital, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|285658|16|2019-06-24
OTC|TKGBY|Turkiye Garanti Bankasi A S American Depositary Shares|ARCA GLOBAL OTC|ARCA|11601|21|2019-06-24
OTC|TKGBY|Turkiye Garanti Bankasi A S American Depositary Shares|OTCX OTC LINK ECN ATS|OTCX|500|1|2019-06-24
OTC|TKOI|Telkonet, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|44000|3|2019-06-24
OTC|TKOI|Telkonet, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|10500|2|2019-06-24
OTC|TKOMY|Tokio Marine Holdings, Inc. Sponsored ADR (Japan)|ARCA GLOBAL OTC|ARCA|9032|48|2019-06-24
OTC|TKXHF|TrackX Holdings, Inc.  Common Shares|OTCX OTC LINK ECN ATS|OTCX|5000|1|2019-06-24
OTC|TLGN|Totally Green, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|110|2|2019-06-24
OTC|TLIF|TOCCA Life Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|50000|3|2019-06-24
OTC|TLOG|TETRALOGIC PHARMACEUTICALS CORP Common Stock|OTCX OTC LINK ECN ATS|OTCX|20000|2|2019-06-24
