tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
NMS Tier 1|A|Agilent Technologies Inc.|BIDS BIDS ATS|BIDS|548900|346|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|BLKX INSTINET BLOCKCROSS|BLKX|54100|5|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|CBLC CITIBLOC|CBLC|60162|3|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|CODA CODA|CODA|37466|248|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|CROS CROSSFINDER|CROS|720925|4323|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|DBAX SUPERX ATS|DBAX|269000|1585|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|EBXL LEVEL ATS|EBXL|256140|1451|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|IATS IBKR ATS|IATS|104319|475|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|ICBX CBX|ICBX|29874|240|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|INCR INTELLIGENT CROSS LLC|INCR|61090|391|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|ITGP POSIT|ITGP|295700|352|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|JPBX JPB-X|JPBX|46535|851|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|JPMX JPM-X|JPMX|328962|1904|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|KCGM VIRTU MATCHIT ATS|KCGM|175421|648|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|LATS THE BARCLAYS ATS|LATS|148400|915|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|LMNX LUMINEX ATS|LMNX|266900|3|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|LQNA LIQUIDNET H2O ATS|LQNA|46200|6|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|MLIX INSTINCT X|MLIX|145846|636|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|MSPL MS POOL (ATS-4)|MSPL|277300|1372|2019-06-03
NMS Tier 1|A|Agilent Technologies Inc.|MSRP MS RPOOL (ATS-6)|MSRP|249600|1601|2019-06-03
