MPID|marketParticipantName|summaryTypeDescription|summaryStartDate|totalTradeCount|totalShareQuantity|averageTradeSize|averageTradeSizeRank|ATSTradePercent|ATSSharePercent|ATSTradeRank|ATSShareRank|ATSBlockCount|ATSBlockQuantity|averageBlockSize|averageBlockSizeRank|ATSBlockTradePercent|ATSBlockSharePercent|ATSBlockTradeRank|ATSBlockShareRank|ATSBlockBusinessTradePercent|ATSBlockBusinessSharePercent|ATSBlockBusinessTradeRank|ATSBlockBusinessShareRank|lastUpdateDate
AQUA|AQUA|10K+ Shares|2019-05-01|773|5708300|7385|7|0.00|0.03|31|29|133|3040600|22862|9|0.17|0.15|27|27|17.21|53.27|7|8|2019-07-01
BIDS|BIDS ATS|10K+ Shares|2019-05-01|926237|921409734|995|11|0.90|4.75|18|9|21138|550258400|26032|5|26.42|26.57|1|1|2.28|59.72|9|7|2019-07-01
BLKX|INSTINET BLOCKCROSS|10K+ Shares|2019-05-01|23137|269964607|11668|6|0.02|1.39|22|19|8149|177474810|21779|11|10.18|8.57|3|4|35.22|65.74|6|6|2019-07-01
CBLC|CITIBLOC|10K+ Shares|2019-05-01|1814|26777044|14761|5|0.00|0.14|29|28|923|20803753|22539|10|1.15|1.00|17|16|50.88|77.69|4|5|2019-07-01
CODA|CODA|10K+ Shares|2019-05-01|617043|124486785|202|19|0.60|0.64|20|25|380|5552100|14611|27|0.47|0.27|23|23|0.06|4.46|15|16|2019-07-01
CROS|CROSSFINDER|10K+ Shares|2019-05-01|11407768|1832144412|161|28|11.11|9.45|2|2|2919|56232283|19264|14|3.65|2.71|9|10|0.03|3.07|21|19|2019-07-01
DBAX|SUPERX ATS|10K+ Shares|2019-05-01|6204045|1121387251|181|25|6.04|5.78|7|7|1184|17742100|14985|25|1.48|0.86|15|18|0.02|1.58|24|25|2019-07-01
DLTA|DEALERWEB|10K+ Shares|2019-05-01|828|181576801|219296|1|0.00|0.94|30|22|828|181576801|219296|1|1.03|8.77|18|3|100.00|100.00|1|1|2019-07-01
EBXL|LEVEL ATS|10K+ Shares|2019-05-01|6726444|1313769595|195|21|6.55|6.77|5|4|2893|50780157|17553|17|3.62|2.45|10|12|0.04|3.87|19|18|2019-07-01
IATS|IBKR ATS|10K+ Shares|2019-05-01|1793706|460303471|257|16|1.75|2.37|14|13|612|8014068|13095|28|0.76|0.39|21|22|0.03|1.74|20|24|2019-07-01
ICBX|CBX|10K+ Shares|2019-05-01|1584490|299774117|189|22|1.54|1.55|16|18|298|4698923|15768|23|0.37|0.23|25|24|0.02|1.57|25|26|2019-07-01
INCR|INTELLIGENT CROSS LLC|10K+ Shares|2019-05-01|1038824|185511804|179|26|1.01|0.96|17|21|93|1216504|13081|29|0.12|0.06|28|28|0.01|0.66|29|30|2019-07-01
ITGP|POSIT|10K+ Shares|2019-05-01|1694138|534301100|315|15|1.65|2.75|15|12|5554|141189400|25421|6|6.94|6.82|4|6|0.33|26.43|11|10|2019-07-01
JPBX|JPB-X|10K+ Shares|2019-05-01|3892574|391466524|101|32|3.79|2.02|9|15|312|4663018|14946|26|0.39|0.23|24|25|0.01|1.19|30|27|2019-07-01
JPMX|JPM-X|10K+ Shares|2019-05-01|8263013|1426550709|173|27|8.05|7.36|3|3|4639|96003406|20695|12|5.80|4.63|5|7|0.06|6.73|17|13|2019-07-01
KCGM|VIRTU MATCHIT ATS|10K+ Shares|2019-05-01|2221595|414293020|186|23|2.16|2.14|12|14|1056|20356736|19277|13|1.32|0.98|16|17|0.05|4.91|18|14|2019-07-01
LATS|THE BARCLAYS ATS|10K+ Shares|2019-05-01|6344882|1175086547|185|24|6.18|6.06|6|6|1622|28940900|17843|16|2.03|1.40|12|13|0.03|2.46|22|22|2019-07-01
LMNX|LUMINEX ATS|10K+ Shares|2019-05-01|2622|84725645|32313|3|0.00|0.44|26|26|1678|78207258|46607|2|2.10|3.78|11|8|64.00|92.31|3|3|2019-07-01
LQNA|LIQUIDNET H2O ATS|10K+ Shares|2019-05-01|20986|313557800|14941|4|0.02|1.62|23|17|9502|257530700|27103|4|11.88|12.43|2|2|45.28|82.13|5|4|2019-07-01
LQNT|LIQUIDNET NEGOTIATION ATS|10K+ Shares|2019-05-01|4676|151185100|32332|2|0.00|0.78|25|23|3399|143573000|42240|3|4.25|6.93|7|5|72.69|94.97|2|2|2019-07-01
MAGM|MAGMA ATS|10K+ Shares|2019-05-01|9|37800|4200|8|0.00|0.00|32|32|0|0|0|32|0.00|0.00|32|32|0.00|0.00|32|32|2019-07-01
MLIX|INSTINCT X|10K+ Shares|2019-05-01|2280782|540581913|237|17|2.22|2.79|11|10|1583|25938152|16385|21|1.98|1.25|13|14|0.07|4.80|14|15|2019-07-01
MSPL|MS POOL (ATS-4)|10K+ Shares|2019-05-01|5818662|1259126497|216|18|5.67|6.49|8|5|3334|53976100|16190|22|4.17|2.61|8|11|0.06|4.29|16|17|2019-07-01
MSRP|MS RPOOL (ATS-6)|10K+ Shares|2019-05-01|2080600|326947190|157|29|2.03|1.69|13|16|430|9918800|23067|8|0.54|0.48|22|21|0.02|3.03|23|20|2019-07-01
MSTX|MS TRAJECTORY CROSS (ATS-1)|10K+ Shares|2019-05-01|2738670|535436808|196|20|2.67|2.76|10|11|259|3896800|15046|24|0.32|0.19|26|26|0.01|0.73|27|29|2019-07-01
PROS|PRO SECURITIES|10K+ Shares|2019-05-01|2187|1422326|650|12|0.00|0.01|28|31|4|42500|10625|30|0.00|0.00|31|31|0.18|2.99|13|21|2019-07-01
SGMT|SIGMA X2|10K+ Shares|2019-05-01|7487339|1112385909|149|30|7.29|5.74|4|8|696|12187826|17511|18|0.87|0.59|19|20|0.01|1.10|28|28|2019-07-01
UBSA|UBS ATS|10K+ Shares|2019-05-01|28573160|3944075407|138|31|27.83|20.34|1|1|4405|77034256|17488|19|5.51|3.72|6|9|0.02|1.95|26|23|2019-07-01
