MPID|marketParticipantName|summaryTypeDescription|summaryStartDate|totalTradeCount|totalShareQuantity|averageTradeSize|averageTradeSizeRank|ATSTradePercent|ATSSharePercent|ATSTradeRank|ATSShareRank|ATSBlockCount|ATSBlockQuantity|averageBlockSize|averageBlockSizeRank|ATSBlockTradePercent|ATSBlockSharePercent|ATSBlockTradeRank|ATSBlockShareRank|ATSBlockBusinessTradePercent|ATSBlockBusinessSharePercent|ATSBlockBusinessTradeRank|ATSBlockBusinessShareRank|lastUpdateDate
AQUA|AQUA|2K to <10K|2019-05-01|773|5708300|7385|7|0.00|0.03|31|29|640|2667700|4168|8|0.10|0.12|28|28|82.79|46.73|2|2|2019-07-01
BIDS|BIDS ATS|2K to <10K|2019-05-01|926237|921409734|995|11|0.90|4.75|18|9|40720|192589700|4730|6|6.58|8.67|6|2|4.40|20.90|12|10|2019-07-01
BLKX|INSTINET BLOCKCROSS|2K to <10K|2019-05-01|23137|269964607|11668|6|0.02|1.39|22|19|14988|92489797|6171|3|2.42|4.16|14|10|64.78|34.26|3|7|2019-07-01
CBLC|CITIBLOC|2K to <10K|2019-05-01|1814|26777044|14761|5|0.00|0.14|29|28|891|5973291|6704|2|0.14|0.27|27|27|49.12|22.31|4|8|2019-07-01
CODA|CODA|2K to <10K|2019-05-01|617043|124486785|202|19|0.60|0.64|20|25|5689|19790699|3479|19|0.92|0.89|21|21|0.92|15.90|17|13|2019-07-01
CROS|CROSSFINDER|2K to <10K|2019-05-01|11407768|1832144412|161|28|11.11|9.45|2|2|52095|178214102|3421|21|8.42|8.03|2|4|0.46|9.73|26|22|2019-07-01
DBAX|SUPERX ATS|2K to <10K|2019-05-01|6204045|1121387251|181|25|6.04|5.78|7|7|30255|100362600|3317|25|4.89|4.52|9|8|0.49|8.95|25|24|2019-07-01
DLTA|DEALERWEB|2K to <10K|2019-05-01|828|181576801|219296|1|0.00|0.94|30|22|0|0|0|32|0.00|0.00|32|32|0.00|0.00|32|32|2019-07-01
EBXL|LEVEL ATS|2K to <10K|2019-05-01|6726444|1313769595|195|21|6.55|6.77|5|4|43696|152671462|3494|17|7.06|6.87|5|6|0.65|11.62|21|19|2019-07-01
IATS|IBKR ATS|2K to <10K|2019-05-01|1793706|460303471|257|16|1.75|2.37|14|13|36179|93869883|2595|31|5.85|4.23|7|9|2.02|20.39|14|11|2019-07-01
ICBX|CBX|2K to <10K|2019-05-01|1584490|299774117|189|22|1.54|1.55|16|18|10329|32683176|3164|29|1.67|1.47|19|20|0.65|10.90|20|20|2019-07-01
INCR|INTELLIGENT CROSS LLC|2K to <10K|2019-05-01|1038824|185511804|179|26|1.01|0.96|17|21|4581|14802462|3231|28|0.74|0.67|22|22|0.44|7.98|27|26|2019-07-01
ITGP|POSIT|2K to <10K|2019-05-01|1694138|534301100|315|15|1.65|2.75|15|12|21002|78713000|3748|12|3.39|3.54|11|12|1.24|14.73|15|15|2019-07-01
JPBX|JPB-X|2K to <10K|2019-05-01|3892574|391466524|101|32|3.79|2.02|9|15|10936|36046660|3296|26|1.77|1.62|18|19|0.28|9.21|29|23|2019-07-01
JPMX|JPM-X|2K to <10K|2019-05-01|8263013|1426550709|173|27|8.05|7.36|3|3|50081|178646466|3567|15|8.09|8.04|3|3|0.61|12.52|22|17|2019-07-01
KCGM|VIRTU MATCHIT ATS|2K to <10K|2019-05-01|2221595|414293020|186|23|2.16|2.14|12|14|14714|51148027|3476|20|2.38|2.30|16|17|0.66|12.35|19|18|2019-07-01
LATS|THE BARCLAYS ATS|2K to <10K|2019-05-01|6344882|1175086547|185|24|6.18|6.06|6|6|34914|115871801|3319|24|5.64|5.22|8|7|0.55|9.86|23|21|2019-07-01
LMNX|LUMINEX ATS|2K to <10K|2019-05-01|2622|84725645|32313|3|0.00|0.44|26|26|944|6518387|6905|1|0.15|0.29|26|26|36.00|7.69|6|27|2019-07-01
LQNA|LIQUIDNET H2O ATS|2K to <10K|2019-05-01|20986|313557800|14941|4|0.02|1.62|23|17|9310|54566500|5861|5|1.50|2.46|20|15|44.36|17.40|5|12|2019-07-01
LQNT|LIQUIDNET NEGOTIATION ATS|2K to <10K|2019-05-01|4676|151185100|32332|2|0.00|0.78|25|23|1231|7557400|6139|4|0.20|0.34|25|25|26.33|5.00|7|30|2019-07-01
MAGM|MAGMA ATS|2K to <10K|2019-05-01|9|37800|4200|8|0.00|0.00|32|32|8|37000|4625|7|0.00|0.00|31|31|88.89|97.88|1|1|2019-07-01
MLIX|INSTINCT X|2K to <10K|2019-05-01|2280782|540581913|237|17|2.22|2.79|11|10|22668|81112988|3578|14|3.66|3.65|10|11|0.99|15.00|16|14|2019-07-01
MSPL|MS POOL (ATS-4)|2K to <10K|2019-05-01|5818662|1259126497|216|18|5.67|6.49|8|5|49696|173284200|3487|18|8.03|7.80|4|5|0.85|13.76|18|16|2019-07-01
MSRP|MS RPOOL (ATS-6)|2K to <10K|2019-05-01|2080600|326947190|157|29|2.03|1.69|13|16|2964|10680700|3603|13|0.48|0.48|24|24|0.14|3.27|31|31|2019-07-01
MSTX|MS TRAJECTORY CROSS (ATS-1)|2K to <10K|2019-05-01|2738670|535436808|196|20|2.67|2.76|10|11|13698|43078800|3145|30|2.21|1.94|17|18|0.50|8.05|24|25|2019-07-01
PROS|PRO SECURITIES|2K to <10K|2019-05-01|2187|1422326|650|12|0.00|0.01|28|31|165|626722|3798|11|0.03|0.03|30|30|7.54|44.06|11|4|2019-07-01
SGMT|SIGMA X2|2K to <10K|2019-05-01|7487339|1112385909|149|30|7.29|5.74|4|8|20349|65775489|3232|27|3.29|2.96|12|13|0.27|5.91|30|29|2019-07-01
UBSA|UBS ATS|2K to <10K|2019-05-01|28573160|3944075407|138|31|27.83|20.34|1|1|87991|297043492|3376|23|14.22|13.38|1|1|0.31|7.53|28|28|2019-07-01
USTK|USTOCKTRADE SECURITIES, INC.|2K to <10K|2019-05-01|252306|149307259|592|13|0.25|0.77|21|24|19314|65509208|3392|22|3.12|2.95|13|14|7.65|43.88|10|5|2019-07-01
WDNX|XE|2K to <10K|2019-05-01|2349|3526562|1501|10|0.00|0.02|27|30|424|1642042|3873|10|0.07|0.07|29|29|18.05|46.56|9|3|2019-07-01
XIST|INSTINET CROSSING|2K to <10K|2019-05-01|18301|38843083|2122|9|0.02|0.20|24|27|3524|14384625|4082|9|0.57|0.65|23|23|19.26|37.03|8|6|2019-07-01
XSTM|CROSSSTREAM|2K to <10K|2019-05-01|664077|249370810|376|14|0.65|1.29|19|20|14782|52372142|3543|16|2.39|2.36|15|16|2.23|21.00|13|9|2019-07-01
