tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTCE|ACBM|Acro Biomedical Co., Ltd. Common Stock|De Minimis Firms|23086|46|2019-06-03
OTCE|ACCA|Acacia Diversified Holdings, Inc. Common Stock|De Minimis Firms|1032229|71|2019-06-03
OTCE|ACCMF|AAC MICROTEC AB  Share AK (Sweden)|De Minimis Firms|200|1|2019-06-03
OTCE|ACCR|Access-Power, Inc. (Florida) Common Stock|De Minimis Firms|600|2|2019-06-03
OTCE|ACCYY|Accor S A American Depositary Receipts - Sponsored (France)|De Minimis Firms|55846|150|2019-06-03
OTCE|ACDSF|Ascendas Real Estate Investment Trust Units|De Minimis Firms|20005|18|2019-06-03
OTCE|ACDVF|Air Canada Inc Vtg & Var Vtg Shares (Canada)|De Minimis Firms|32387|71|2019-06-03
OTCE|ACEHF|Ace Hardware Indonesia Tbk Ordinary Shares (Indonesia)|De Minimis Firms|1|1|2019-06-03
OTCE|ACETQ|Aceto Corporation Common Stock|De Minimis Firms|7369997|1030|2019-06-03
OTCE|ACFL|AMC Financial Holdings, Inc. Common Stock|De Minimis Firms|1200|2|2019-06-03
OTCE|ACFN|Acorn Energy, Inc.|De Minimis Firms|33524|27|2019-06-03
OTCE|ACGBF|Agricultural Bank of China Ordinary Shares  SHS H  (China)|De Minimis Firms|38300|8|2019-06-03
OTCE|ACGBY|Agricultural Bank of China Unsponsored American Depository Receipt (China)|De Minimis Firms|28252|103|2019-06-03
OTCE|ACGX|Alliance Creative Group, Inc. Common Stock|De Minimis Firms|14582745|37|2019-06-03
OTCE|ACHFF|ARch Biopartners Inc. Ordinary Shares (Canada)|De Minimis Firms|31864|21|2019-06-03
OTCE|ACKAY|Arcelik A S Unsponsored ADR (Turkey)|De Minimis Firms|829|15|2019-06-03
OTCE|ACKDF|Auckland International Airport Ltd Ordinary Shares (New Zealand)|De Minimis Firms|18162|4|2019-06-03
OTCE|ACLLF|Atco Ltd  Cl I Nv Cda Ordinary Shares|De Minimis Firms|14626|3|2019-06-03
OTCE|ACLZ|Accelerize Inc.  Common Stock|De Minimis Firms|566407|35|2019-06-03
OTCE|ACMC|American Church Mortgage Co Common Stock|De Minimis Firms|676|6|2019-06-03
OTCE|ACNDF|Ascendas India Trust Units (Singapore)|De Minimis Firms|110464|3|2019-06-03
OTCE|ACNFF|Amsterdam Commodities NV Ordinary Shares (Netherlands)|De Minimis Firms|10000|1|2019-06-03
OTCE|ACNNF|Auscann Group Hldgs Ltd Ordinary Shares (Australia)|De Minimis Firms|372615|123|2019-06-03
OTCE|ACNV|Accelera Innovations, Inc Common Stock|De Minimis Firms|266549|5|2019-06-03
OTCE|ACOPF|A2 Milk Co Ltd. Shs (New Zealand)|De Minimis Firms|59663|83|2019-06-03
OTCE|ACRB|Asia Carbon Industries, Inc. Common|De Minimis Firms|12854|1|2019-06-03
OTCE|ACRGF|Acreage Holdings Inc Common Shares (Canada)|CANACCORD GENUITY LLC|503328|2809|2019-06-03
OTCE|ACRGF|Acreage Holdings Inc Common Shares (Canada)|CITADEL SECURITIES LLC|237584|1172|2019-06-03
OTCE|ACRGF|Acreage Holdings Inc Common Shares (Canada)|De Minimis Firms|428040|1639|2019-06-03
OTCE|ACRL|Atacama Resources International, Inc. Common Stock|De Minimis Firms|21517733|55|2019-06-03
OTCE|ACRT|Advanced Credit Technologies Inc Common Stock|De Minimis Firms|26880|8|2019-06-03
OTCE|ACSAF|Acs Actividades de Construccion y Servicios SA Ordinary Shares (Spain)|De Minimis Firms|890|1|2019-06-03
OTCE|ACSAY|ACS Actividades De Construccion Y Servicios SA Unsponsored ADR (Spain)|De Minimis Firms|268066|686|2019-06-03
OTCE|ACTL|Artec Global Media, Inc. Common Stock|De Minimis Firms|3676423|9|2019-06-03
OTCE|ACUIF|AcuityAds Hldgs Inc Ordinary Shares (Canada)|De Minimis Firms|112200|81|2019-06-03
OTCE|ACUR|ACURA PHARMACEUTICALS INC Common Stock|De Minimis Firms|16700|20|2019-06-03
OTCE|ACUS|Acusphere, Inc. (NEW) Common Stock|De Minimis Firms|49095|12|2019-06-03
OTCE|ACXIF|Acciona Sa Ordinary Shares|De Minimis Firms|106|3|2019-06-03
OTCE|ADAC|Adama Technologies Corporation Common Stock|De Minimis Firms|865478|30|2019-06-03
OTCE|ADAD|Adaiah Distribution, Inc. Common Stock|De Minimis Firms|901|2|2019-06-03
OTCE|ADDDF|adidas AG Ordinary Shares (Germany)|De Minimis Firms|23899|38|2019-06-03
OTCE|ADDYY|adidas AG Sponsored ADR (Germany)|De Minimis Firms|124406|2282|2019-06-03
OTCE|ADFS|American Defense Systems, Inc Common Stock|De Minimis Firms|206311|26|2019-06-03
OTCE|ADGO|Advantego Corporation Common Stock|De Minimis Firms|8846|14|2019-06-03
OTCE|ADHC|American Diversified Holdings Corporation Common Stock|De Minimis Firms|206796|11|2019-06-03
OTCE|ADLS|Advanced Life Sciences Holdings, Inc. Common Stock|De Minimis Firms|166|1|2019-06-03
OTCE|ADMG|Adamant DRI Processing and Minerals Group Common Stock|De Minimis Firms|5000|1|2019-06-03
OTCE|ADMT|ADM Tronics Unlimited, Inc. Common Stock|De Minimis Firms|123647|33|2019-06-03
OTCE|ADNY|Adino Energy Corporation Common Stock|De Minimis Firms|982592|11|2019-06-03
OTCE|ADPAS|Adelphia Recovery Trust  Series ACC-1 Int|De Minimis Firms|5000|1|2019-06-03
OTCE|ADPXY|Audio Pixels Holdings Ltd Sponsored ADR (Australia)|De Minimis Firms|650|4|2019-06-03
OTCE|ADRNY|Koninklijke Ahold Delhaize N.V. American Depositary Receipts - Sponsored|De Minimis Firms|570972|634|2019-06-03
OTCE|ADRZF|Andritz Ag Graz Ordinary Shares|De Minimis Firms|16|1|2019-06-03
OTCE|ADRZY|Andritz Ag Graz Unsponsored ADR (Austria)|De Minimis Firms|41|2|2019-06-03
OTCE|ADSV|Allied Security Innovations, Inc. NEW Common Stock|De Minimis Firms|12952622|69|2019-06-03
OTCE|ADTM|Adaptive Medias, Inc. Common Stock|De Minimis Firms|10930250|18|2019-06-03
OTCE|ADVOF|Adva Optical Networking SE Ordinary Shares (Germany)|De Minimis Firms|348|4|2019-06-03
OTCE|ADVT|Advantis Corporation Common Stock|De Minimis Firms|2358140|179|2019-06-03
OTCE|ADVV|Adveco Group Inc Common Stock|De Minimis Firms|400|3|2019-06-03
OTCE|ADVZF|Adventus Zinc Corporation Common Shares (Canada)|De Minimis Firms|28717|13|2019-06-03
OTCE|ADXDF|Adex Mining Corp Ordinary Shares|De Minimis Firms|10000|1|2019-06-03
OTCE|ADYYF|Adyen N.V. Ordinary Shares (Netherlands)|De Minimis Firms|391|47|2019-06-03
OTCE|ADZCF|DB AGRIC SHORT EXCHANGE TRADED NT due 04/01/2038|De Minimis Firms|100|1|2019-06-03
OTCE|AEBLF|American Biofuels Inc. Common Shares  (Canada)|De Minimis Firms|1200|2|2019-06-03
OTCE|AEBZY|Anadolu Efes Biracilik Ve Malt Sanayi AS Sponsored ADR Reg S (Turkey)|De Minimis Firms|345|1|2019-06-03
OTCE|AEDC|American Energy Development Corp. Common Stock|De Minimis Firms|325|1|2019-06-03
OTCE|AEGG|American Energy Group, Ltd. New Common Stock|De Minimis Firms|8750|3|2019-06-03
OTCE|AEGXF|AECON GROUP INC Ordinary Shares|De Minimis Firms|100|1|2019-06-03
OTCE|AEGY|Alternative Energy Partners Inc. Common Stock|De Minimis Firms|190000|2|2019-06-03
OTCE|AENG|Advanced Engine Technologies, Inc. Common Stock|De Minimis Firms|100|1|2019-06-03
OTCE|AEOJF|Aeon Financial Services Co Ltd (Jpn) Ordinary Shares|De Minimis Firms|442|2|2019-06-03
OTCE|AEOXF|Aeroports de Paris Adp Ordinary Shares (France)|De Minimis Firms|1|1|2019-06-03
OTCE|AEPT|American Energy Partners, Inc. Common Stock|De Minimis Firms|42702|11|2019-06-03
OTCE|AERG|Applied Energetics, Inc Common Stock|De Minimis Firms|639059|201|2019-06-03
OTCE|AERN|AER Energy Resources, Inc. Common Stock|De Minimis Firms|25700|1|2019-06-03
OTCE|AERO|AeroGrow International, Inc. Common Stock|De Minimis Firms|34009|150|2019-06-03
OTCE|AERS|Aerius Common Stock|De Minimis Firms|20000|2|2019-06-03
OTCE|AESTY|AES Tiete Energia SA American Depositary Shares - Sponsored (Brazil)|De Minimis Firms|3313|6|2019-06-03
OTCE|AETUF|Arc Resources Ltd. Ordinary Shares (Canada)|De Minimis Firms|35271|104|2019-06-03
