tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTCE|AABB|Asia Broadband Inc Common Stock|De Minimis Firms|329776|19|2019-07-01
OTCE|AACAF|AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands)|De Minimis Firms|17350|4|2019-07-01
OTCE|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|De Minimis Firms|296899|467|2019-07-01
OTCE|AACS|American Commerce Solutions, Inc. Common Stock|De Minimis Firms|100600|5|2019-07-01
OTCE|AAGC|All American Gold Corp. Common Stock|De Minimis Firms|7913151|11|2019-07-01
OTCE|AAGH|America Great Health Common Stock|De Minimis Firms|18500|4|2019-07-01
OTCE|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|De Minimis Firms|553546|2281|2019-07-01
OTCE|AAIGF|AIA Group, Ltd. Ordinary Shares (Hong Kong)|De Minimis Firms|71848|62|2019-07-01
OTCE|AAMAF|Atlas Mara Co Nvest Ltd. Ordinary Shares (Virgin Islands British)|De Minimis Firms|20811|1|2019-07-01
OTCE|AAMMF|Almadex Minerals Ltd Ordinary Shares (Canada)|De Minimis Firms|63955|30|2019-07-01
OTCE|AAMTF|Armada Mercantile Ltd Ordinary Shares|De Minimis Firms|100|1|2019-07-01
OTCE|AAPH|American Petro-Hunter, Inc. Common Stock|De Minimis Firms|4340000|4|2019-07-01
OTCE|AAPT|All American Pet Company, Inc. Common Stock|De Minimis Firms|2902670|4|2019-07-01
OTCE|AASL|America's Suppliers, Inc. Common Stock|De Minimis Firms|500|1|2019-07-01
OTCE|AASP|All-American SportPark, Inc. Common Stock|De Minimis Firms|10426|15|2019-07-01
OTCE|AAST|Allied American Steel Corp. Common Stock|De Minimis Firms|205|1|2019-07-01
OTCE|AASZF|Atlantic Sapphire AS Common Shares|De Minimis Firms|440|3|2019-07-01
OTCE|AATDF|AA LTD Ordinary Shares (United Kingdom)|De Minimis Firms|5440|5|2019-07-01
OTCE|AATRL|AMG Capital  Trust II 5.15% Convertible Trust Preferred Securities, Expiring 10/15/2037|De Minimis Firms|5632|20|2019-07-01
OTCE|AATV|Adaptive Ad Systems, Inc. NEW Common Stock|De Minimis Firms|17467|7|2019-07-01
OTCE|AAUKF|Anglo American plc Ordinary Shares (United Kingdom)|De Minimis Firms|5367|8|2019-07-01
OTCE|AAVVF|Advantage Oil & Gas Ltd Ordinary Shares (Canada)|De Minimis Firms|53652|95|2019-07-01
OTCE|AAWC|Alexandria Advantage Warranty Company Common Stock|De Minimis Firms|194|1|2019-07-01
OTCE|ABAHF|Abacus Health Products Inc Common Shares (Canada)|De Minimis Firms|12829|70|2019-07-01
OTCE|ABBB|Auburn Bancorp, Inc. Common Stock|De Minimis Firms|104|2|2019-07-01
OTCE|ABBRF|Abraplata Resource Corp Ordinary Shares (Canada)|De Minimis Firms|222402|17|2019-07-01
OTCE|ABBY|Abby, Inc  Common Stock|De Minimis Firms|1|1|2019-07-01
OTCE|ABCAF|Athabasca Minerals Inc Common Shares (Canada)|De Minimis Firms|15946|9|2019-07-01
OTCE|ABCE|ABCO Energy, Inc Common Stock|De Minimis Firms|1778698|65|2019-07-01
OTCE|ABCFF|Abacus Mining & Exploration Corporation Common Shares|De Minimis Firms|159836|32|2019-07-01
OTCE|ABCP|AmBase Corporation Common Stock|De Minimis Firms|41522|16|2019-07-01
OTCE|ABCZF|Abcam PLC Ordinary Shares (United Kingdom)|De Minimis Firms|7845|27|2019-07-01
OTCE|ABCZY|Abcam PLC Unsponsored ADR (United Kingdom)|De Minimis Firms|2525|38|2019-07-01
OTCE|ABLZF|Abb Ltd Reg Ordinary Shares|De Minimis Firms|758070|11|2019-07-01
OTCE|ABMC|American Bio Medica Corp. Common Stock|De Minimis Firms|11000|2|2019-07-01
OTCE|ABML|American Battery Metals Corporation Common Stock|De Minimis Firms|768649|155|2019-07-01
OTCE|ABMRF|ABN Amro Group NV Depositary Receipts (Netherlands)|De Minimis Firms|11937|3|2019-07-01
OTCE|ABMT|Advanced BioMedical Technologies, Inc. Common Stock|De Minimis Firms|700|3|2019-07-01
OTCE|ABNAF|Aben Resources, Ltd. Ordinary Shares|De Minimis Firms|347366|61|2019-07-01
