tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTCE|AABB|Asia Broadband Inc Common Stock|De Minimis Firms|1587099|87|2019-06-17
OTCE|AABVF|Aberdeen International Inc Ordinary Shares|De Minimis Firms|5630|4|2019-06-17
OTCE|AACAF|AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands)|De Minimis Firms|125|2|2019-06-17
OTCE|AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|De Minimis Firms|516134|612|2019-06-17
OTCE|AACS|American Commerce Solutions, Inc. Common Stock|De Minimis Firms|128488|15|2019-06-17
OTCE|AACTF|AURORA SOLAR TECHNOLOGIES INC  Common Shares|De Minimis Firms|2230|3|2019-06-17
OTCE|AAGC|All American Gold Corp. Common Stock|De Minimis Firms|2415916|31|2019-06-17
OTCE|AAGH|America Great Health Common Stock|De Minimis Firms|29600|14|2019-06-17
OTCE|AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|De Minimis Firms|606116|2747|2019-06-17
OTCE|AAIGF|AIA Group, Ltd. Ordinary Shares (Hong Kong)|De Minimis Firms|110401|78|2019-06-17
OTCE|AAIIQ|Alabama Aircraft Industries, Inc. Common Stock|De Minimis Firms|40990|9|2019-06-17
OTCE|AAINF|Asiabasemetals Inc Common Shares|De Minimis Firms|813|2|2019-06-17
OTCE|AAMAF|Atlas Mara Co Nvest Ltd. Ordinary Shares (Virgin Islands British)|De Minimis Firms|38835|9|2019-06-17
OTCE|AAMMF|Almadex Minerals Ltd Ordinary Shares (Canada)|De Minimis Firms|147960|77|2019-06-17
OTCE|AAMTF|Armada Mercantile Ltd Ordinary Shares|De Minimis Firms|17300|7|2019-06-17
OTCE|AAOMF|Atlas Consolidated Mining & Development Corp At Shs Par 1.00 (Philippines)|De Minimis Firms|133|1|2019-06-17
OTCE|AAPH|American Petro-Hunter, Inc. Common Stock|De Minimis Firms|1000|1|2019-06-17
OTCE|AAPJ|AAP, Inc. Common Stock|De Minimis Firms|10226|4|2019-06-17
OTCE|AAPT|All American Pet Company, Inc. Common Stock|De Minimis Firms|86759338|23|2019-06-17
OTCE|AASP|All-American SportPark, Inc. Common Stock|De Minimis Firms|2927|6|2019-06-17
OTCE|AASZF|Atlantic Sapphire AS Common Shares|De Minimis Firms|23225|9|2019-06-17
OTCE|AATDF|AA LTD Ordinary Shares (United Kingdom)|De Minimis Firms|6530|5|2019-06-17
OTCE|AATRL|AMG Capital  Trust II 5.15% Convertible Trust Preferred Securities, Expiring 10/15/2037|De Minimis Firms|90606|26|2019-06-17
OTCE|AATV|Adaptive Ad Systems, Inc. NEW Common Stock|De Minimis Firms|4052|4|2019-06-17
OTCE|AAUKF|Anglo American plc Ordinary Shares (United Kingdom)|De Minimis Firms|20425|6|2019-06-17
OTCE|AAVVF|Advantage Oil & Gas Ltd Ordinary Shares (Canada)|De Minimis Firms|52955|107|2019-06-17
OTCE|AAVXF|Abivax SA Ordinary Shares (France)|De Minimis Firms|25|1|2019-06-17
OTCE|AAWC|Alexandria Advantage Warranty Company Common Stock|De Minimis Firms|105817|32|2019-06-17
OTCE|ABAHF|Abacus Health Products Inc Common Shares (Canada)|De Minimis Firms|10760|30|2019-06-17
OTCE|ABAKF|ABERDEEN ASIA-PACIFIC INCOME Ordinary Shares|De Minimis Firms|99058|46|2019-06-17
OTCE|ABBRF|Abraplata Resource Corp Ordinary Shares (Canada)|De Minimis Firms|5000|6|2019-06-17
OTCE|ABBY|Abby, Inc  Common Stock|De Minimis Firms|1930|10|2019-06-17
OTCE|ABCAF|Athabasca Minerals Inc Common Shares (Canada)|De Minimis Firms|28000|6|2019-06-17
OTCE|ABCE|ABCO Energy, Inc Common Stock|De Minimis Firms|6212085|206|2019-06-17
OTCE|ABCFF|Abacus Mining & Exploration Corporation Common Shares|De Minimis Firms|52202|13|2019-06-17
OTCE|ABCP|AmBase Corporation Common Stock|De Minimis Firms|14994|10|2019-06-17
OTCE|ABCZF|Abcam PLC Ordinary Shares (United Kingdom)|De Minimis Firms|56359|21|2019-06-17
OTCE|ABCZY|Abcam PLC Unsponsored ADR (United Kingdom)|De Minimis Firms|3534|41|2019-06-17
